Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
n=4096 / log(q)=109 / BFV / EvaluateMulPt/iterations:10                     591 us          591 us           10
n=4096 / log(q)=109 / BFV / EvaluateSquare/iterations:10                   2797 us         2798 us           10
n=4096 / log(q)=109 / BFV / EvaluateModSwitchInplace/iterations:10         53.9 us         53.9 us           10
n=4096 / log(q)=109 / BFV / EvaluateRelinInplace/iterations:10              801 us          802 us           10
n=4096 / log(q)=109 / BFV / EvaluateRotateRows/iterations:10                815 us          815 us           10
n=4096 / log(q)=109 / BFV / EvaluateRotateCols/iterations:10                800 us          800 us           10
n=4096 / log(q)=109 / BGV / EncryptSecret/iterations:10                     836 us          837 us           10
n=4096 / log(q)=109 / BGV / EncryptPublic/iterations:10                    1809 us         1809 us           10
n=4096 / log(q)=109 / BGV / Decrypt/iterations:10                           214 us          214 us           10
n=4096 / log(q)=109 / BGV / EncodeBatch/iterations:10                      60.9 us         60.8 us           10
n=4096 / log(q)=109 / BGV / DecodeBatch/iterations:10                      72.6 us         72.6 us           10
n=4096 / log(q)=109 / BGV / EvaluateNegate/iterations:10                   19.3 us         19.2 us           10
n=4096 / log(q)=109 / BGV / EvaluateNegateInplace/iterations:10            14.9 us         14.8 us           10
n=4096 / log(q)=109 / BGV / EvaluateAddCt/iterations:10                    20.6 us         20.5 us           10
n=4096 / log(q)=109 / BGV / EvaluateAddCtInplace/iterations:10             15.6 us         15.5 us           10
n=4096 / log(q)=109 / BGV / EvaluateAddPt/iterations:10                     176 us          176 us           10
n=4096 / log(q)=109 / BGV / EvaluateAddPtInplace/iterations:10              173 us          172 us           10
n=4096 / log(q)=109 / BGV / EvaluateMulCt/iterations:10                     134 us          134 us           10
n=4096 / log(q)=109 / BGV / EvaluateMulCtInplace/iterations:10              131 us          131 us           10
n=4096 / log(q)=109 / BGV / EvaluateMulPt/iterations:10                     226 us          226 us           10
n=4096 / log(q)=109 / BGV / EvaluateMulPtInplace/iterations:10              219 us          219 us           10
n=4096 / log(q)=109 / BGV / EvaluateSquare/iterations:10                    105 us          105 us           10
n=4096 / log(q)=109 / BGV / EvaluateSquareInplace/iterations:10             104 us          104 us           10
n=4096 / log(q)=109 / BGV / EvaluateModSwitchInplace/iterations:10          319 us          319 us           10
n=4096 / log(q)=109 / BGV / EvaluateRelinInplace/iterations:10              970 us          971 us           10
n=4096 / log(q)=109 / BGV / EvaluateRotateRows/iterations:10                983 us          983 us           10
n=4096 / log(q)=109 / BGV / EvaluateRotateRowsInplace/iterations:10         973 us          974 us           10
n=4096 / log(q)=109 / BGV / EvaluateRotateCols/iterations:10                988 us          988 us           10
n=4096 / log(q)=109 / BGV / EvaluateRotateColsInplace/iterations:10         996 us          996 us           10
n=4096 / log(q)=109 / BGV / EvaluateToNTTInplace/iterations:10              255 us          255 us           10
n=4096 / log(q)=109 / BGV / EvaluateFromNTTInplace/iterations:10            199 us          199 us           10
n=4096 / log(q)=109 / CKKS / EncryptSecret/iterations:10                    666 us          666 us           10
n=4096 / log(q)=109 / CKKS / EncryptPublic/iterations:10                   1618 us         1619 us           10
n=4096 / log(q)=109 / CKKS / Decrypt/iterations:10                         42.8 us         42.8 us           10
n=4096 / log(q)=109 / CKKS / EncodeDouble/iterations:10                     265 us          265 us           10
n=4096 / log(q)=109 / CKKS / DecodeDouble/iterations:10                     400 us          400 us           10
n=4096 / log(q)=109 / CKKS / EvaluateAddCt/iterations:10                   20.9 us         20.9 us           10
n=4096 / log(q)=109 / CKKS / EvaluateAddPt/iterations:10                   14.0 us         14.0 us           10
n=4096 / log(q)=109 / CKKS / EvaluateNegate/iterations:10                  16.6 us         16.4 us           10
n=4096 / log(q)=109 / CKKS / EvaluateSubCt/iterations:10                   23.4 us         23.3 us           10
n=4096 / log(q)=109 / CKKS / EvaluateSubPt/iterations:10                   14.1 us         13.9 us           10
n=4096 / log(q)=109 / CKKS / EvaluateMulCt/iterations:10                    141 us          141 us           10
n=4096 / log(q)=109 / CKKS / EvaluateMulPt/iterations:10                   62.3 us         62.3 us           10
n=4096 / log(q)=109 / CKKS / EvaluateSquare/iterations:10                  98.9 us         98.8 us           10
n=4096 / log(q)=109 / CKKS / EvaluateRescaleInplace/iterations:10           217 us          217 us           10
n=4096 / log(q)=109 / CKKS / EvaluateRelinInplace/iterations:10             793 us          793 us           10
n=4096 / log(q)=109 / CKKS / EvaluateRotate/iterations:10                   812 us          813 us           10
n=4096 / log(q)=109 / UTIL / NTTForward/iterations:10                       260 us          260 us           10
n=4096 / log(q)=109 / UTIL / NTTInverse/iterations:10                       196 us          196 us           10
n=4096 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                64.5 us         64.5 us           10
n=4096 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                48.3 us         48.0 us           10
n=4096 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            42.4 us         42.4 us           10
n=4096 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            46.3 us         46.3 us           10
n=8192 / log(q)=218 / KeyGen / Secret/iterations:10                        1030 us         1030 us           10
n=8192 / log(q)=218 / KeyGen / Public/iterations:10                        2665 us         2664 us           10
n=8192 / log(q)=218 / KeyGen / Relin/iterations:10                        11015 us        11015 us           10
n=8192 / log(q)=218 / KeyGen / Galois/iterations:10                       10711 us        10711 us           10
n=8192 / log(q)=218 / BFV / EncryptSecret/iterations:10                    2615 us         2615 us           10
n=8192 / log(q)=218 / BFV / EncryptPublic/iterations:10                    3663 us         3664 us           10
n=8192 / log(q)=218 / BFV / Decrypt/iterations:10                          1255 us         1256 us           10
n=8192 / log(q)=218 / BFV / EncodeBatch/iterations:10                       124 us          124 us           10
n=8192 / log(q)=218 / BFV / DecodeBatch/iterations:10                       142 us          142 us           10
n=8192 / log(q)=218 / BFV / EvaluateAddCt/iterations:10                     133 us          133 us           10
n=8192 / log(q)=218 / BFV / EvaluateAddPt/iterations:10                     252 us          252 us           10
n=8192 / log(q)=218 / BFV / EvaluateNegate/iterations:10                   67.0 us         67.0 us           10
n=8192 / log(q)=218 / BFV / EvaluateSubCt/iterations:10                     103 us          103 us           10
n=8192 / log(q)=218 / BFV / EvaluateSubPt/iterations:10                     246 us          246 us           10
n=8192 / log(q)=218 / BFV / EvaluateMulCt/iterations:10                   13868 us        13866 us           10
n=8192 / log(q)=218 / BFV / EvaluateMulPt/iterations:10                    2430 us         2431 us           10
n=8192 / log(q)=218 / BFV / EvaluateSquare/iterations:10                  10238 us        10236 us           10
n=8192 / log(q)=218 / BFV / EvaluateModSwitchInplace/iterations:10          263 us          263 us           10
n=8192 / log(q)=218 / BFV / EvaluateRelinInplace/iterations:10             3912 us         3910 us           10
n=8192 / log(q)=218 / BFV / EvaluateRotateRows/iterations:10               4005 us         4006 us           10
n=8192 / log(q)=218 / BFV / EvaluateRotateCols/iterations:10               4582 us         4582 us           10
n=8192 / log(q)=218 / BGV / EncryptSecret/iterations:10                    2831 us         2831 us           10
n=8192 / log(q)=218 / BGV / EncryptPublic/iterations:10                    5537 us         5537 us           10
n=8192 / log(q)=218 / BGV / Decrypt/iterations:10                           782 us          782 us           10
n=8192 / log(q)=218 / BGV / EncodeBatch/iterations:10                       121 us          121 us           10
n=8192 / log(q)=218 / BGV / DecodeBatch/iterations:10                       141 us          141 us           10
n=8192 / log(q)=218 / BGV / EvaluateNegate/iterations:10                   83.2 us         83.3 us           10
n=8192 / log(q)=218 / BGV / EvaluateNegateInplace/iterations:10            51.7 us         51.6 us           10
n=8192 / log(q)=218 / BGV / EvaluateAddCt/iterations:10                     106 us          107 us           10
n=8192 / log(q)=218 / BGV / EvaluateAddCtInplace/iterations:10             61.8 us         61.8 us           10
n=8192 / log(q)=218 / BGV / EvaluateAddPt/iterations:10                     711 us          711 us           10
n=8192 / log(q)=218 / BGV / EvaluateAddPtInplace/iterations:10              691 us          691 us           10
n=8192 / log(q)=218 / BGV / EvaluateMulCt/iterations:10                     538 us          537 us           10
n=8192 / log(q)=218 / BGV / EvaluateMulCtInplace/iterations:10              498 us          498 us           10
n=8192 / log(q)=218 / BGV / EvaluateMulPt/iterations:10                     897 us          897 us           10
n=8192 / log(q)=218 / BGV / EvaluateMulPtInplace/iterations:10              877 us          877 us           10
n=8192 / log(q)=218 / BGV / EvaluateSquare/iterations:10                    469 us          469 us           10
n=8192 / log(q)=218 / BGV / EvaluateSquareInplace/iterations:10             401 us          401 us           10
n=8192 / log(q)=218 / BGV / EvaluateModSwitchInplace/iterations:10         1387 us         1387 us           10
n=8192 / log(q)=218 / BGV / EvaluateRelinInplace/iterations:10             4555 us         4555 us           10
n=8192 / log(q)=218 / BGV / EvaluateRotateRows/iterations:10               4619 us         4620 us           10
n=8192 / log(q)=218 / BGV / EvaluateRotateRowsInplace/iterations:10        4580 us         4580 us           10
n=8192 / log(q)=218 / BGV / EvaluateRotateCols/iterations:10               4613 us         4614 us           10
n=8192 / log(q)=218 / BGV / EvaluateRotateColsInplace/iterations:10        4577 us         4577 us           10
n=8192 / log(q)=218 / BGV / EvaluateToNTTInplace/iterations:10             1041 us         1041 us           10
n=8192 / log(q)=218 / BGV / EvaluateFromNTTInplace/iterations:10            803 us          803 us           10
n=8192 / log(q)=218 / CKKS / EncryptSecret/iterations:10                   2151 us         2152 us           10
n=8192 / log(q)=218 / CKKS / EncryptPublic/iterations:10                   6118 us         6119 us           10
n=8192 / log(q)=218 / CKKS / Decrypt/iterations:10                          164 us          164 us           10
n=8192 / log(q)=218 / CKKS / EncodeDouble/iterations:10                     832 us          832 us           10
n=8192 / log(q)=218 / CKKS / DecodeDouble/iterations:10                    1704 us         1705 us           10
n=8192 / log(q)=218 / CKKS / EvaluateAddCt/iterations:10                    118 us          118 us           10
n=8192 / log(q)=218 / CKKS / EvaluateAddPt/iterations:10                   53.6 us         53.6 us           10
n=8192 / log(q)=218 / CKKS / EvaluateNegate/iterations:10                  65.9 us         65.9 us           10
n=8192 / log(q)=218 / CKKS / EvaluateSubCt/iterations:10                    105 us          105 us           10
n=8192 / log(q)=218 / CKKS / EvaluateSubPt/iterations:10                   58.8 us         58.8 us           10
