t_start,t_end,delta,smid,warpid
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781637,133612964781734,97,0,5
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781639,133612964781736,97,0,6
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
